fragalysis_code,smiles,experimental_pKD
A71EV2A-x1346a,Cc1nn(C)c(C)c1CC(=O)N[C@H](CNC(=O)CCl)c1ccc2ccccc2c1 |&1:12|,4.660785023463071
A71EV2A-x1445a,COc1cc(NC(=O)C[C@H](C)C(F)(F)F)n(C)n1 |&1:9|,4.632048101200719
A71EV2A-x1445b,COc1cc(NC(=O)C[C@H](C)C(F)(F)F)n(C)n1 |&1:9|,4.632048101200719
A71EV2A-x1776a,CC(=O)Nc1ccc(C(=O)[C@H](C)Cl)cc1 |&1:10|,4.180676299350614
A71EV2A-x1778a,CC(=O)N1CCc2cc(C(=O)[C@H](C)Cl)ccc21 |&1:11|,5.151407131646511
A71EV2A-x2290a,CNC(=O)c1nn(C)c2ccccc12,5.376184576266073
A71EV2A-x2293a,Cn1nc(C(=O)N2Cc3ccccc3C[C@H]2CN)c2ccccc21 |&1:15|,5.041436116778033
A71EV2A-x2304a,Cn1nc(C(=O)Nc2cn[nH]c2)c2ccccc21,4.7783685062706525
A71EV2A-x2339a,Cn1nc(C(=O)NC2CC2)c2cc(F)ccc21,4.887413111043684
A71EV2A-x2351a,Cn1nc(C(N)=O)c2cc(F)ccc21,5.050703769890054
A71EV2A-x2448a,CN(C)S(=O)(=O)c1cccnc1,5.10745472442027
A71EV2A-x2448b,CN(C)S(=O)(=O)c1cccnc1,5.10745472442027
A71EV2A-x2454a,CC(=O)Nc1cccc(NC(N)=O)c1,4.943095148663527
A71EV2A-x2458a,CNS(=O)(=O)c1ccccc1Cl,6.034867358576641
A71EV2A-x2513a,COc1ccc(Cl)c2c1C(=O)C(=O)N2,4.628932137728264
A71EV2A-x2629a,COc1ccccc1NC(=O)Nc1cccnc1,4.740875707793589
A71EV2A-x3054a,Cc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1 |a:13|,4.246416941107094
A71EV2A-x3066a,CNC(=O)c1cn(C)c2ccccc12,4.822826736702125
A71EV2A-x3175a,Cc1cc(CNC(=O)c2cn(C)c3ccccc23)on1,4.953569528330592
A71EV2A-x3176a,COC[C@H](C)NC(=O)c1nn(C)c2ccccc12 |&1:3|,4.747146969020107
A71EV2A-x3177a,"Cn1nc(C(=O)N[C@H]2C[C@H]2CO)c2ccccc21 |&1:7,9|",4.8958754625504275
A71EV2A-x3178a,Cn1nc(C(=O)N[C@H]2CCOC2)c2ccccc21 |&1:7|,5.062339877849264
A71EV2A-x3181a,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,4.939565029910406
A71EV2A-x3181b,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,4.939565029910406
A71EV2A-x3186a,COc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1 |&1:15|,4.128427064454121
A71EV2A-x3191a,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3occc23)C1 |&1:3|,3.960269771303526
A71EV2A-x3193a,NC(=O)[C@H]1CCCN(C(=O)Cc2ccnc(Cl)c2Br)C1 |&1:3|,4.162204305054052
A71EV2A-x3201a,COc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1 |&1:15|,4.324153048333832
A71EV2A-x3208a,NC(=O)[C@H]1CCCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1 |&1:3|,4.906948150425689
A71EV2A-x3210a,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3cn[nH]c23)C1 |&1:3|,5.011185771310347
A71EV2A-x3218a,"NC(=O)[C@H]1CCCN(C(=O)[C@H]2CCNc3[nH]ncc32)C1 |&1:3,&2:10|",5.556193958463214
A71EV2A-x3221a,Cc1nc(C)c(CC(=O)N2CCC[C@H](C(N)=O)C2)[nH]1 |a:13|,5.409458546594426
A71EV2A-x3223a,NC(=O)[C@H]1CCCN(C(=O)c2ccnc3[nH]ncc23)C1 |&1:3|,4.787812395596042
A71EV2A-x3225a,Cc1nc2ccccc2n1CC(=O)N1CCC[C@H](C(N)=O)C1 |&1:17|,4.137777547252243
A71EV2A-x3229a,COc1ccncc1CC(=O)N1CCC[C@H](C(N)=O)C1 |&1:15|,4.443671499997475
A71EV2A-x3234a,Cc1cc(C)c(Nc2ccn(C3COC3)n2)c(C)c1,5.016824927962187
A71EV2A-x3264a,Cn1nc(C(=O)NCCc2cocn2)c2cccnc21,4.981705511622298
A71EV2A-x3279a,Cc1cc(C)c(Nc2ccn(C)n2)c(C)c1,5.3072486987698415
A71EV2A-x3280a,Cn1nc(C(=O)NCC(F)(F)c2ccccn2)c2ccccc21,5.168134464700943
A71EV2A-x3286a,Cc1ocnc1CCNC(=O)c1nn(C)c2ccccc12,5.09799710864927
A71EV2A-x3305a,Cc1ccc2c(cnn2C)c1Nc1ccn([C@H]2CCNC2=O)n1 |&1:16|,4.937001727490601
A71EV2A-x3306a,Cn1nc(C(=O)NCCc2cscn2)c2ccccc21,5.337951414156192
A71EV2A-x3324a,Cn1nc(C(=O)NCCc2ccc(S(C)(=O)=O)cc2)c2ccccc21,4.84887783952492
A71EV2A-x3579a,COc1ccccc1CN1C[C@H](C(N)=O)CCC1=O |&1:11|,4.956855685489159
A71EV2A-x3371a,Cn1cnc(CCNC(=O)c2nn(C)c3ccccc23)c1,5.2372107018718905
A71EV2A-x3379a,C[C@H](Cc1cocn1)NC(=O)c1nn(C)c2ccccc12 |&1:1|,4.9657785438458255
A71EV2A-x3392a,O=C(NCCc1cocn1)N1CCc2ccccc21,5.162973800773931
A71EV2A-x3403a,Cn1cc2cccc(NC(=O)Cc3cocn3)c2n1,4.662403924407542
A71EV2A-x3408a,C=CS(=O)(=O)N1CCC[C@H](C(N)=O)C1 |&1:9|,5.1938200260161125
A71EV2A-x3410a,Cc1nn(C)c2cc(C(=O)NCCc3cocn3)ccc12,4.945173530861923
A71EV2A-x3417a,NC(=O)[C@H]1CCCN(C(=O)NCC2CC2)C1 |a:3|,5.064884396650843
A71EV2A-x3419a,Cn1nc(C(=O)NCCc2cocn2)c2ccccc2c1=O,5.170374765613669
A71EV2A-x3435a,O=C(NCCc1cocn1)c1ccccc1,5.093196163745395
A71EV2A-x3436a,Cn1ncc(C(=O)NCCc2cocn2)n1,5.5457146015143275
A71EV2A-x3450a,N#Cc1sccc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:14|,5.008444067750377
A71EV2A-x3480a,N#CCc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1 |a:15|,5.356959172517914
A71EV2A-x3483a,COCc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,4.8164704643841505
A71EV2A-x3485a,COc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1 |a:14|,4.956109291095229
A71EV2A-x3488a,COCC(=O)Nc1c(Cl)cc(C)cc1Oc1cccc(C(N)=O)c1,4.822657723022635
A71EV2A-x3489a,Cc1nc2n(c1CC(=O)N1CCC[C@H](C(N)=O)C1)CCCC2 |&1:13|,5.221581099702723
A71EV2A-x3509a,N#Cc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1 |a:14|,5.1891284469127035
A71EV2A-x3509b,N#Cc1cccc(NC(=O)N2CCC[C@H](C(N)=O)C2)c1 |a:14|,5.1891284469127035
A71EV2A-x3510a,Cc1ccccc1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:14|,4.386163320168128
A71EV2A-x3593a,C[C@H](Cc1cocn1)NC(=O)c1nn(C)c2ccccc12 |&1:1|,4.9657785438458255
A71EV2A-x3606a,Cn1ncc(-c2cc(Cl)cc(Cl)c2)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |&1:21|,4.958377726777354
A71EV2A-x3612a,NC(=O)[C@H]1CCCN(C(=O)Nc2ccccc2F)C1 |a:3|,4.851286884122841
A71EV2A-x3616a,Cc1ccccc1CNC(=O)N1CCC[C@H](C(N)=O)C1 |a:15|,4.978810700930062
A71EV2A-x3616b,Cc1ccccc1CNC(=O)N1CCC[C@H](C(N)=O)C1 |a:15|,4.978810700930062
A71EV2A-x3621a,COc1ccccc1CC(=O)N1CC[C@@H](O)C1 |a:14|,4.951406063714552
A71EV2A-x3623a,Cc1cnc(CNS(=O)(=O)C[C@H](C)c2ccccc2)o1 |&1:11|,4.8184062698439085
A71EV2A-x3634a,"COc1ccccc1CC(=O)N1C[C@H](C)[C@@H](C(N)=O)C1 |&1:13,15|",5.303920706565589
A71EV2A-x3663a,COc1ccccc1CC(=O)N1CCO[C@@H](C(N)=O)C1 |a:15|,4.615695746966642
A71EV2A-x3665a,COc1ccccc1CC(=O)N1C[C@H](C(N)=O)CC(F)(F)C1 |&1:13|,5.41096889227547
A71EV2A-x3685a,COc1ccccc1CC(=O)N1CC[C@H](NC(N)=O)C1 |&1:14|,5.056011124926228
A71EV2A-x3694a,COc1ccccc1CC(=O)N1CC[C@H](CC(N)=O)C1 |&1:14|,5.055150304924533
A71EV2A-x3694b,COc1ccccc1CC(=O)N1CC[C@H](CC(N)=O)C1 |&1:14|,5.055150304924533
A71EV2A-x3706a,Cc1cccc(CNC(=O)N2CCC[C@H](C(N)=O)C2)c1 |a:14|,4.967584368389079
A71EV2A-x3706b,Cc1cccc(CNC(=O)N2CCC[C@H](C(N)=O)C2)c1 |a:14|,4.967584368389079
A71EV2A-x3521a,N#CC1CC(NC(=O)C2(c3ccc(Cl)cc3Cl)CCOCC2)C1,4.726469830785563
A71EV2A-x3521b,N#CC1CC(NC(=O)C2(c3ccc(Cl)cc3Cl)CCOCC2)C1,4.726469830785563
A71EV2A-x3522a,COCC(=O)Nc1c(Cl)cc(C)cc1OCc1ncccn1,4.858392228943246
A71EV2A-x3522b,COCC(=O)Nc1c(Cl)cc(C)cc1OCc1ncccn1,4.858392228943246
A71EV2A-x3546a,COc1ccc(F)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,4.2094239507757765
A71EV2A-x3548a,COc1ccncc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:15|,4.7516996536545095
A71EV2A-x3550b,"COc1ccccc1CC(=O)N1C[C@H](C(N)=O)CC[C@@H]1C |&1:13,19|",4.411260481653311
A71EV2A-x3550a,"COc1ccccc1CC(=O)N1C[C@H](C(N)=O)CC[C@@H]1C |&1:13,19|",4.411260481653311
A71EV2A-x3556a,Cn1cc2c(CC(=O)N3CC[C@H](C(N)=O)C3)cccc2n1 |&1:11|,4.410050398674293
A71EV2A-x3557a,COc1ccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c(OC)c1 |a:13|,4.635207042042172
A71EV2A-x3557b,COc1ccc(CC(=O)N2CCC[C@H](C(N)=O)C2)c(OC)c1 |a:13|,4.635207042042172
A71EV2A-x3564a,Cc1ccccc1NC(=O)c1cncc(C(N)=O)c1,4.632644078973981
A71EV2A-x3568a,Cc1ccc2c(C(=O)NCCc3cocn3)c[nH]c2c1,5.10808214227103
A71EV2A-x3571a,COc1ccccc1CC(=O)N1CCCC[C@H](C(N)=O)C1 |&1:16|,4.952204384072568
A71EV2A-x3571b,COc1ccccc1CC(=O)N1CCCC[C@H](C(N)=O)C1 |&1:16|,4.952204384072568
A71EV2A-x3849a,COc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1 |o1:15|,4.939681121858298
A71EV2A-x3858a,COc1cccc(Cl)c1CC(=O)N1CCC[C@@H](C(N)=O)C1 |a:16|,4.620456050805198
A71EV2A-x3858b,COc1cccc(Cl)c1CC(=O)N1CCC[C@@H](C(N)=O)C1 |a:16|,4.620456050805198
