complex_name,smiles,fragment_screen,pb_valid,artefact
A71EV2A-x0152a,O=C1CN(C(=O)COc2ccccc2)CCN1,True,True,True
A71EV2A-x0152b,O=C1CN(C(=O)COc2ccccc2)CCN1,True,False,False
A71EV2A-x0188a,CC[C@@H]1CN(S(=O)(=O)N(C)C)CCO1,True,True,False
A71EV2A-x0194a,Fc1ccccc1CNC1CCOCC1,True,True,False
A71EV2A-x0202a,NS(=O)(=O)c1cnc2cccnn12,True,True,False
A71EV2A-x0202b,NS(=O)(=O)c1cnc2cccnn12,True,True,True
A71EV2A-x0207a,Cc1cc(C(=O)NC[C@H]2CCOC2)on1,True,True,False
A71EV2A-x0228a,CS(=O)(=O)N1CCC(O)CC1,True,True,False
A71EV2A-x0229a,CS(=O)(=O)Nc1ccc(CN)cc1,True,True,True
A71EV2A-x0229b,CS(=O)(=O)Nc1ccc(CN)cc1,True,True,False
A71EV2A-x0237a,Cc1ccc(CNC(=O)C2CCC2)cn1,True,True,False
A71EV2A-x0239a,CCC(=O)NCc1nnc2n1CCCC2,True,True,False
A71EV2A-x0269a,O=C(N[C@H]1CCCNC1)c1ccccc1,True,True,True
A71EV2A-x0278b,N[C@H]1CCN(S(=O)(=O)c2ccccc2)C1,True,True,False
A71EV2A-x0278a,N[C@H]1CCN(S(=O)(=O)c2ccccc2)C1,True,True,True
A71EV2A-x0305a,CNS(=O)(=O)c1cccc(C)c1F,True,True,False
A71EV2A-x0309a,Cn1ccnc1-c1noc(C2CCC2)n1,True,True,False
A71EV2A-x0310a,Cc1nn(C)c(C)c1NC(=O)CC#N,True,True,False
A71EV2A-x0332a,CNS(=O)(=O)c1ccccc1Cl,True,True,False
A71EV2A-x0333a,CS(=O)(=O)NCCc1ccccc1,True,True,True
A71EV2A-x0351c,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,True,True,True
A71EV2A-x0351a,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,True,True,False
A71EV2A-x0351b,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,True,True,False
A71EV2A-x0354a,C[C@]1(NC(=O)C2CC2)CCS(=O)(=O)C1,True,True,False
A71EV2A-x0359a,CN(C)Cc1ccc(C#N)cc1,True,True,False
A71EV2A-x0365a,Cn1ccc(NCc2ccccc2)n1,True,True,False
A71EV2A-x0375c,COc1ccccc1NC(N)=S,True,True,True
A71EV2A-x0375a,COc1ccccc1NC(N)=S,True,True,False
A71EV2A-x0375b,COc1ccccc1NC(N)=S,True,True,False
A71EV2A-x0395a,CC(CO)(CO)NC(=O)Nc1ccccc1,True,True,True
A71EV2A-x0395b,CC(CO)(CO)NC(=O)Nc1ccccc1,True,True,True
A71EV2A-x0396a,COCc1nnc(N)s1,True,True,True
A71EV2A-x0412a,CCn1c(NC(C)=O)nc2ccccc21,True,True,True
A71EV2A-x0416a,Cc1ccc(NC(=O)[C@@H]2CCCO2)nc1,True,True,False
A71EV2A-x0428a,CN(C)S(=O)(=O)c1cccnc1,True,True,False
A71EV2A-x0432a,Nc1ccc(-c2ncno2)cc1,True,True,True
A71EV2A-x0437a,CCNc1ccc(C)nn1,True,True,False
A71EV2A-x0443a,Cc1cn2ccccc2n1,True,True,False
A71EV2A-x0446a,CNC(=O)c1cnc(C)s1,True,True,False
A71EV2A-x0450a,CN(C)C(=O)c1ccc(F)cc1Br,True,True,False
A71EV2A-x0451a,CNC(=O)c1cn(C)c2ccccc12,True,True,False
A71EV2A-x0469a,CC(C)N1CCN(c2ncccn2)CC1,True,True,False
A71EV2A-x0473a,O=S(=O)(NC1CCCC1)C1CCOCC1,True,True,False
A71EV2A-x0486a,CN(C)C(=O)Cn1ncc2ccccc21,True,True,False
A71EV2A-x0487a,CC(=O)Nc1ccncc1C,True,True,False
A71EV2A-x0488a,O=c1ccncn1CCO,True,True,True
A71EV2A-x0497a,N#Cc1n[nH]c2ccccc12,True,True,True
A71EV2A-x0501a,COc1ccccc1-c1nnco1,True,True,False
A71EV2A-x0501b,COc1ccccc1-c1nnco1,True,True,False
A71EV2A-x0514b,COc1ccc2sc(N)nc2c1,True,True,True
A71EV2A-x0514a,COc1ccc2sc(N)nc2c1,True,True,False
A71EV2A-x0515c,COC(=O)c1ccncc1N,True,True,True
A71EV2A-x0515a,COC(=O)c1ccncc1N,True,True,False
A71EV2A-x0515b,COC(=O)c1ccncc1N,True,True,False
A71EV2A-x0517a,CCn1cc(C(=O)NCc2ccc(F)cc2)cn1,True,True,False
A71EV2A-x0525a,O=c1ccc(OC(F)F)c[nH]1,True,True,False
A71EV2A-x0526a,Cc1nccn1-c1cccnc1,True,True,False
A71EV2A-x0528a,CN1CC[C@@H](Oc2cccc(F)c2)C1=O,True,True,False
A71EV2A-x0528b,CN1CC[C@@H](Oc2cccc(F)c2)C1=O,True,True,True
A71EV2A-x0540a,N#Cc1ccc(CNCc2ccc(F)cc2)cc1,True,True,False
A71EV2A-x0541a,Cc1noc(C)c1C[C@@H](C)C(=O)N(C)C,True,True,False
A71EV2A-x0554b,CC(=O)Nc1cccc2cc[nH]c12,True,True,False
A71EV2A-x0554a,CC(=O)Nc1cccc2cc[nH]c12,True,True,False
A71EV2A-x0556a,Cn1cc(N)c(C(=O)NC2CCC2)n1,True,True,False
A71EV2A-x0566a,CNC(=O)c1cccc2cc[nH]c12,True,True,False
A71EV2A-x0571a,COCc1cc(C(N)=O)no1,True,True,False
A71EV2A-x0586a,CN1CCCc2ccc(S(N)(=O)=O)cc21,True,True,False
A71EV2A-x0691a,CNc1ccccc1S(C)(=O)=O,True,True,False
A71EV2A-x0717a,Cc1n[nH]c(C)c1S(=O)(=O)N(C)C,True,True,False
A71EV2A-x0719b,C[C@H](CS(N)(=O)=O)c1ccccc1,True,True,True
A71EV2A-x0719a,C[C@H](CS(N)(=O)=O)c1ccccc1,True,True,False
A71EV2A-x0732a,Cc1cc(C)c(NC(=O)CO)c(C)c1,True,True,False
A71EV2A-x0739a,Cc1ccc(OCC(=O)N2CCOCC2)c(C)c1,True,True,False
A71EV2A-x0812a,Cn1nc(C(N)=O)c2ccccc21,True,True,False
A71EV2A-x0831a,Nc1cccc(OCc2ccccc2)c1,True,True,True
A71EV2A-x0836a,COc1ccc([C@H](N)c2ccccc2)cc1,True,True,False
A71EV2A-x0836b,COc1ccc([C@H](N)c2ccccc2)cc1,True,True,False
A71EV2A-x0853a,O=C(NC1CC1)c1ccc2c(c1)OCO2,True,True,False
A71EV2A-x0884a,CC(=O)Nc1cccc(NC(N)=O)c1,True,True,False
A71EV2A-x0900a,Nc1ccc(-c2ncno2)cc1,True,True,True
A71EV2A-x0911a,CN(C(=O)[C@H]1CCNC1)c1ccccc1,True,True,False
A71EV2A-x0922a,Cc1ccccc1OCC(=O)N(C)C,True,True,False
A71EV2A-x0926a,COCC(=O)N1CCC[C@H](C(N)=O)C1,True,True,False
A71EV2A-x1019a,COc1cc(Br)ccc1CC(=O)O,True,True,False
A71EV2A-x1068b,Nc1ncccn1,True,True,True
A71EV2A-x1068a,Nc1ncccn1,True,True,False
A71EV2A-x1068c,Nc1ncccn1,True,True,True
A71EV2A-x1080a,CCC(=O)NO,True,True,False
A71EV2A-x1081a,O=C1NCCN1,True,True,True
A71EV2A-x1081b,O=C1NCCN1,True,True,True
A71EV2A-x1084a,NC(=O)C1(N)CC1,True,True,True
A71EV2A-x1105a,c1ccc(-c2ccncc2)cc1,True,True,True
A71EV2A-x1105b,c1ccc(-c2ccncc2)cc1,True,True,True
A71EV2A-x1109a,O=C(O)c1cnc(-c2ccccc2)s1,True,True,True
