query	target	release_date	sucos_shape	pocket_qcov	sucos_shape_pocket_qcov
A71EV2A-x5808a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	33.36243157078735	92.5925925925926	30.89114034332162
A71EV2A-x3435a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	46.41948897690343	92.0	42.70592985875116
A71EV2A-x4838a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	44.453457721840174	86.36363636363636	38.39162257795288
A71EV2A-x0229b	3sv7__1__1.A__1.B__1.A__1.B	2011-07-12 00:00:00	57.97927117263866	22.22222222222222	12.88428248280859
A71EV2A-x4341a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	42.9743390242842	92.3076923076923	39.66862063780079
A71EV2A-x4836a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	44.25157102059691	91.30434782608695	40.4036083231537
A71EV2A-x4707a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	45.355213357615554	95.0	43.087452689734775
A71EV2A-x4012a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	46.450066070072296	92.3076923076923	42.87698406468212
A71EV2A-x4606b	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	45.69401127345666	95.45454545454544	43.617010761026805
A71EV2A-x4449a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	41.00731459880232	91.66666666666669	37.59003838223547
A71EV2A-x4710a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	40.171804221791454	92.0	36.95805988404815
A71EV2A-x4519b	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	38.41901884496408	95.83333333333331	36.81822639309056
A71EV2A-x3178a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	44.49818495242472	92.5925925925926	41.202023104096966
A71EV2A-x4583b	7ara__1__2.B__2.E__2.B__2.E	2020-10-23 00:00:00	49.94034419530045	73.91304347826087	36.91242831826555
A71EV2A-x0717a	3p8n__1__1.A__1.F__1.A__1.F	2010-10-14 00:00:00	55.24976050682279	28.571428571428573	15.785645859092226
A71EV2A-x4365a	7ara__1__1.A__1.C__1.A__1.C	2020-10-23 00:00:00	45.56618524603101	77.27272727272727	35.21023405375124
A71EV2A-x7287a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	44.49846394992616	88.88888888888889	39.55419017771214
A71EV2A-x7338a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	36.80045648130297	92.0	33.85641996279874
A71EV2A-x5512b	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	33.249913920452855	88.88888888888889	29.55547904040254
A71EV2A-x4580a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	38.1521341855248	92.0	35.09996345068282
A71EV2A-x7032a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	45.935000845212585	88.88888888888889	40.83111186241118
A71EV2A-x5389a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	44.20146903359604	91.66666666666669	40.51801328079637
A71EV2A-x5452b	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	47.9928062586776	95.65217391304348	45.90616250830031
A71EV2A-x4673a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	44.68337940023654	91.30434782608695	40.797868148042056
A71EV2A-x3550b	6w5h__3__1.C__1.G__1.C__1.G	2020-03-13 00:00:00	48.20449181794192	14.285714285714286	6.886355973991703
A71EV2A-x7184a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	45.666320571471466	85.71428571428571	39.14256048983268
A71EV2A-x6841a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	35.625783746763695	89.28571428571429	31.80873548818187
A71EV2A-x4843a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	39.59344014541927	92.0	36.42596493378573
A71EV2A-x7510b	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	35.70519099710871	92.3076923076923	32.958637843484965
A71EV2A-x0278a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	43.84601686898435	71.42857142857143	31.31858347784596
A71EV2A-x4308a	7ara__1__1.A__1.C__1.A__1.C	2020-10-23 00:00:00	45.87297073847152	81.81818181818181	37.53243060420397
A71EV2A-x3939a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	39.67005475601511	92.3076923076923	36.61851208247548
A71EV2A-x1080a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	54.82343923468255	90.0	49.341095311214296
A71EV2A-x4967c	7ara__1__2.B__2.E__2.B__2.E	2020-10-23 00:00:00	41.03594424149423	66.66666666666667	27.357296160996157
A71EV2A-x5359b	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	52.83715290129817	53.333333333333336	28.179814880692355
A71EV2A-x5584a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	41.80458140217453	87.5	36.57900872690272
A71EV2A-x5104a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	40.11280680862868	88.88888888888889	35.6558282743366
A71EV2A-x4237b	4fvd__1__2.A__2.B__2.A__2.B	2012-06-29 00:00:00	37.91996457555132	86.36363636363636	32.74906031524887
A71EV2A-x3201a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	39.95234441228112	95.83333333333331	38.287663395102726
A71EV2A-x5488a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	43.61569479423931	92.5925925925926	40.38490258725862
A71EV2A-x3564a	7ara__1__2.B__2.E__2.B__2.E	2020-10-23 00:00:00	52.87090728017271	78.94736842105263	41.74018995803109
A71EV2A-x4537a	7ara__1__1.A__1.C__1.A__1.C	2020-10-23 00:00:00	57.96864445157798	75.0	43.47648333868348
A71EV2A-x4670a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	45.00070955572577	87.5	39.37562086126005
A71EV2A-x7257a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	31.88402313895045	92.5925925925926	29.522243647176342
A71EV2A-x4403a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	34.572782772584645	90.0	31.115504495326185
A71EV2A-x4334a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	43.16158444306026	90.9090909090909	39.23780403914569
A71EV2A-x4736a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	44.86116354265994	95.45454545454544	42.822019745266296
A71EV2A-x0900a	4ktc__1__1.A__1.B__1.A__1.B	2013-05-20 00:00:00	45.012222972409646	33.333333333333336	15.004074324136552
A71EV2A-x4207b	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	39.28906540559415	96.0	37.71750278937039
A71EV2A-x1148b	1ppg__1__3.A__3.C__3.A__3.C	1991-10-24 00:00:00	51.26737800207604	42.85714285714285	21.971733429461157
A71EV2A-x3286a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	44.52810163382767	92.3076923076923	41.10286304661015
A71EV2A-x6736a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	40.03204392746234	88.88888888888889	35.584039046633194
A71EV2A-x3884b	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	37.306677971771926	92.0	34.32214373403018
A71EV2A-x3954a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	43.058062996815536	95.65217391304348	41.18597330130182
A71EV2A-x2454a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	43.51159138355385	95.45454545454544	41.53379177521048
A71EV2A-x6021a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	42.78857781761876	92.3076923076923	39.497148754725
A71EV2A-x5398a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	42.97011824249034	92.3076923076923	39.66472453152954
A71EV2A-x5022b	7ara__1__1.A__1.C__1.A__1.C	2020-10-23 00:00:00	42.62230759281876	82.6086956521739	35.20973235928505
A71EV2A-x4035a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	44.99773705548108	91.66666666666669	41.247925634191
A71EV2A-x4669a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	39.19842831187574	91.30434782608695	35.78986932823437
A71EV2A-x6914a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	35.73450387787291	92.5925925925926	33.087503590623065
A71EV2A-x0884a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	50.49861061114655	90.0	45.44874955003189
A71EV2A-x4959a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	44.43511597595647	90.9090909090909	40.395559978142245
A71EV2A-x2351a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	45.60790477857428	92.0	41.95927239628834
A71EV2A-x7316a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	35.04113810402765	92.3076923076923	32.345665942179366
A71EV2A-x4701a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	43.38107872373224	92.3076923076923	40.04407266806052
A71EV2A-x4812a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	45.5680400280186	92.0	41.92259682577711
A71EV2A-x5317a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	41.53649506100002	96.15384615384616	39.93893755865386
A71EV2A-x4724a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	41.79080534607324	92.3076923076923	38.57612801175991
A71EV2A-x5082a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	39.53774476833146	95.65217391304348	37.81871238709967
A71EV2A-x1293a	6w5l__3__1.C__1.G__1.C__1.G	2020-03-13 00:00:00	45.24861180230148	30.0	13.57458354069044
A71EV2A-x5036a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	39.32517741180488	95.83333333333331	37.68662835297967
A71EV2A-x4829a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	40.49828864216092	92.3076923076923	37.38303566968701
A71EV2A-x5449a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	40.23294436003485	88.46153846153847	35.5906815492616
A71EV2A-x5598a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	37.6213742844943	88.46153846153847	33.28044648243727
A71EV2A-x0375a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	44.56762898374249	63.63636363636363	28.361218444199764
A71EV2A-x6938a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	38.19522765263636	92.3076923076923	35.25713321781818
A71EV2A-x0305a	2oc8__1__1.A__1.G__1.A__1.G	2006-12-20 00:00:00	53.408939685377554	22.22222222222222	11.868653263417231
A71EV2A-x5289b	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	44.62566266020746	95.65217391304348	42.68541645758975
A71EV2A-x4715a	7ara__1__2.B__2.E__2.B__2.E	2020-10-23 00:00:00	52.70137188315989	73.07692307692308	38.51254099153992
A71EV2A-x5798b	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	45.70360725803844	95.65217391304348	43.716493898993285
A71EV2A-x6776a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	37.00266969898917	89.28571428571429	33.03809794552605
A71EV2A-x4751a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	45.32808084536999	92.0	41.70183437774039
A71EV2A-x7430a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	36.67032312056931	92.3076923076923	33.84952903437166
A71EV2A-x4214b	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	40.06876554466408	95.65217391304348	38.326645303591725
A71EV2A-x3546a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	36.87173239767695	92.3076923076923	34.03544529016334
A71EV2A-x7432a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	39.93520674588032	92.3076923076923	36.86326776542799
A71EV2A-x0556a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	43.10586329874625	86.36363636363636	37.2277910307354
A71EV2A-x5210b	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	48.35155463081146	95.45454545454544	46.153756693047285
A71EV2A-x3992b	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	44.40982134077576	95.83333333333331	42.55941211824343
A71EV2A-x3177a	7da6__1__1.A__1.B__1.A__1.B	2020-10-15 00:00:00	47.45333366977375	92.0	43.65706697619185
