label,method,dock_prot,filtered,scaffold_only,rmsd_threshold,lddt_pli_threshold,n_total,n_with_predictions,mean_n_poses,n_rmsd_valid,n_success_valid,rmsd_valid_rate,success_valid_rate,rmsd_valid_pct,success_valid_pct,rmsd_only_pct
gnina redock top25,gnina,redock,True,True,2.0,0.8,802,802,25.0,738,682,0.9201995012468828,0.8503740648379052,92.01995012468828,85.03740648379052,6.9825436408977595
smina redock top25,smina,redock,True,True,2.0,0.8,802,802,25.0,665,596,0.8291770573566085,0.743142144638404,82.91770573566085,74.3142144638404,8.603491271820445
diffdock redock top25,diffdock,redock,True,True,2.0,0.8,802,802,25.0,25,16,0.03117206982543641,0.0199501246882793,3.117206982543641,1.99501246882793,1.122194513715711
gnina A71EV2A_AF top25,gnina,A71EV2A_AF,True,True,2.0,0.8,802,802,25.0,145,16,0.18079800498753118,0.0199501246882793,18.07980049875312,1.99501246882793,16.08478802992519
smina A71EV2A_AF top25,smina,A71EV2A_AF,True,True,2.0,0.8,802,802,25.0,89,4,0.11097256857855362,0.004987531172069825,11.097256857855362,0.4987531172069825,10.598503740648379
diffdock A71EV2A_AF top25,diffdock,A71EV2A_AF,True,True,2.0,0.8,802,802,25.0,8,1,0.00997506234413965,0.0012468827930174563,0.997506234413965,0.12468827930174563,0.8728179551122194
gnina A71EV2A_8POA top25,gnina,A71EV2A_8POA,True,True,2.0,0.8,802,802,25.0,4,0,0.004987531172069825,0.0,0.4987531172069825,0.0,0.4987531172069825
smina A71EV2A_8POA top25,smina,A71EV2A_8POA,True,True,2.0,0.8,802,802,25.0,3,0,0.003740648379052369,0.0,0.3740648379052369,0.0,0.3740648379052369
diffdock A71EV2A_8POA top25,diffdock,A71EV2A_8POA,True,True,2.0,0.8,802,802,25.0,1,0,0.0012468827930174563,0.0,0.12468827930174563,0.0,0.12468827930174563
gnina fragment_crossdock top25,gnina,fragment_crossdock,True,True,2.0,0.8,802,802,25.0,303,109,0.3778054862842893,0.13591022443890274,37.78054862842893,13.591022443890274,24.189526184538657
smina fragment_crossdock top25,smina,fragment_crossdock,True,True,2.0,0.8,802,802,25.0,179,49,0.2231920199501247,0.06109725685785536,22.31920199501247,6.109725685785536,16.209476309226936
diffdock fragment_crossdock top25,diffdock,fragment_crossdock,True,True,2.0,0.8,802,802,25.0,2,2,0.0024937655860349127,0.0024937655860349127,0.24937655860349126,0.24937655860349126,0.0
