label,method,dock_prot,filtered,scaffold_only,n_total,n_with_predictions,mean_n_poses,n_rmsd_valid,n_success_valid,rmsd_valid_rate,success_valid_rate,rmsd_valid_pct,success_valid_pct,rmsd_only_pct
gnina_multi redock top25,gnina_multi,redock,False,False,925,925,25.0,798,730,0.8627027027027027,0.7891891891891892,86.27027027027026,78.91891891891892,7.35135135135134
smina_multi redock top25,smina_multi,redock,False,False,925,925,25.0,695,621,0.7513513513513513,0.6713513513513514,75.13513513513513,67.13513513513514,7.999999999999986
diffdock redock top25,diffdock,redock,False,False,925,925,25.0,30,22,0.032432432432432434,0.023783783783783784,3.2432432432432434,2.3783783783783785,0.8648648648648649
gnina_multi A71EV2A_AF_prepared_aligned top25,gnina_multi,A71EV2A_AF_prepared_aligned,False,False,925,925,25.0,170,25,0.1837837837837838,0.02702702702702703,18.37837837837838,2.7027027027027026,15.675675675675677
smina_multi A71EV2A_AF_prepared_aligned top25,smina_multi,A71EV2A_AF_prepared_aligned,False,False,925,925,25.0,94,4,0.10162162162162162,0.004324324324324324,10.162162162162163,0.43243243243243246,9.72972972972973
diffdock A71EV2A_AF_prepared_aligned top25,diffdock,A71EV2A_AF_prepared_aligned,False,False,925,925,25.0,3,0,0.003243243243243243,0.0,0.3243243243243243,0.0,0.3243243243243243
gnina_multi A71EV2A_8POA_prepared_aligned top25,gnina_multi,A71EV2A_8POA_prepared_aligned,False,False,925,925,25.0,39,21,0.04216216216216216,0.022702702702702703,4.216216216216216,2.27027027027027,1.9459459459459456
smina_multi A71EV2A_8POA_prepared_aligned top25,smina_multi,A71EV2A_8POA_prepared_aligned,False,False,925,925,25.0,25,2,0.02702702702702703,0.002162162162162162,2.7027027027027026,0.21621621621621623,2.4864864864864864
diffdock A71EV2A_8POA_prepared_aligned top25,diffdock,A71EV2A_8POA_prepared_aligned,False,False,925,925,25.0,2,1,0.002162162162162162,0.001081081081081081,0.21621621621621623,0.10810810810810811,0.10810810810810811
gnina_multi fragment_crossdock top25,gnina_multi,fragment_crossdock,False,False,925,925,25.0,355,151,0.3837837837837838,0.16324324324324324,38.37837837837838,16.324324324324323,22.054054054054056
smina_multi fragment_crossdock top25,smina_multi,fragment_crossdock,False,False,925,925,25.0,193,70,0.20864864864864865,0.07567567567567568,20.864864864864867,7.567567567567568,13.297297297297298
diffdock fragment_crossdock top25,diffdock,fragment_crossdock,False,False,925,925,25.0,5,2,0.005405405405405406,0.002162162162162162,0.5405405405405406,0.21621621621621623,0.32432432432432434
