rank,fragment_id,n_unique_compounds,percent,cumulative_n,cumulative_percent,fragment_id_short,complex_name,fragment_smiles
1,A71EV2A-x0926a,507,82.97872340425532,507,82.97872340425532,x0926a,A71EV2A-x0926a,COCC(=O)N1CCC[C@H](C(N)=O)C1
2,A71EV2A-x0812a,30,4.909983633387888,537,87.88870703764321,x0812a,A71EV2A-x0812a,Cn1nc(C(N)=O)c2ccccc21
3,A71EV2A-x1019a,14,2.2913256955810146,551,90.18003273322422,x1019a,A71EV2A-x1019a,COc1cc(Br)ccc1CC(=O)O
4,A71EV2A-x0739a,7,1.1456628477905073,558,91.32569558101473,x0739a,A71EV2A-x0739a,Cc1ccc(OCC(=O)N2CCOCC2)c(C)c1
5,A71EV2A-x0911a,7,1.1456628477905073,565,92.47135842880523,x0911a,A71EV2A-x0911a,CN(C(=O)[C@H]1CCNC1)c1ccccc1
6,A71EV2A-x0375a,5,0.8183306055646481,570,93.28968903436989,x0375a,A71EV2A-x0375a,COc1ccccc1NC(N)=S
7,A71EV2A-x0486a,5,0.8183306055646481,575,94.10801963993454,x0486a,A71EV2A-x0486a,CN(C)C(=O)Cn1ncc2ccccc21
8,A71EV2A-x1140a,5,0.8183306055646481,580,94.92635024549918,x1140a,A71EV2A-x1140a,O=C(CN1CCCC1)c1ccccc1Cl
9,A71EV2A-x0554b,3,0.4909983633387889,583,95.41734860883797,x0554b,A71EV2A-x0554b,CC(=O)Nc1cccc2cc[nH]c12
10,A71EV2A-x0732a,3,0.4909983633387889,586,95.90834697217676,x0732a,A71EV2A-x0732a,Cc1cc(C)c(NC(=O)CO)c(C)c1
11,A71EV2A-x0853a,3,0.4909983633387889,589,96.39934533551555,x0853a,A71EV2A-x0853a,O=C(NC1CC1)c1ccc2c(c1)OCO2
12,A71EV2A-x0310a,2,0.32733224222585927,591,96.72667757774141,x0310a,A71EV2A-x0310a,Cc1nn(C)c(C)c1NC(=O)CC#N
13,A71EV2A-x0451a,2,0.32733224222585927,593,97.05400981996726,x0451a,A71EV2A-x0451a,CNC(=O)c1cn(C)c2ccccc12
14,A71EV2A-x0487a,2,0.32733224222585927,595,97.38134206219313,x0487a,A71EV2A-x0487a,CC(=O)Nc1ccncc1C
15,A71EV2A-x0515a,2,0.32733224222585927,597,97.70867430441899,x0515a,A71EV2A-x0515a,COC(=O)c1ccncc1N
16,A71EV2A-x0528a,2,0.32733224222585927,599,98.03600654664484,x0528a,A71EV2A-x0528a,CN1CC[C@@H](Oc2cccc(F)c2)C1=O
17,A71EV2A-x0556a,2,0.32733224222585927,601,98.3633387888707,x0556a,A71EV2A-x0556a,Cn1cc(N)c(C(=O)NC2CCC2)n1
18,A71EV2A-x0884a,2,0.32733224222585927,603,98.69067103109656,x0884a,A71EV2A-x0884a,CC(=O)Nc1cccc(NC(N)=O)c1
19,A71EV2A-x0922a,2,0.32733224222585927,605,99.01800327332242,x0922a,A71EV2A-x0922a,Cc1ccccc1OCC(=O)N(C)C
20,A71EV2A-x0309a,1,0.16366612111292964,606,99.18166939443535,x0309a,A71EV2A-x0309a,Cn1ccnc1-c1noc(C2CCC2)n1
21,A71EV2A-x0332a,1,0.16366612111292964,607,99.34533551554829,x0332a,A71EV2A-x0332a,CNS(=O)(=O)c1ccccc1Cl
22,A71EV2A-x0365a,1,0.16366612111292964,608,99.50900163666121,x0365a,A71EV2A-x0365a,Cn1ccc(NCc2ccccc2)n1
23,A71EV2A-x0517a,1,0.16366612111292964,609,99.67266775777414,x0517a,A71EV2A-x0517a,CCn1cc(C(=O)NCc2ccc(F)cc2)cn1
24,A71EV2A-x0719a,1,0.16366612111292964,610,99.83633387888707,x0719a,A71EV2A-x0719a,C[C@H](CS(N)(=O)=O)c1ccccc1
25,A71EV2A-x1292a,1,0.16366612111292964,611,100.0,x1292a,A71EV2A-x1292a,O=C(NC1CC1)c1ccccc1O
