series_fragment,series_fragment_short,role,complex_name,smiles,tanimoto_to_fragment,series_n_unique_compounds
A71EV2A-x0926a,x0926a,fragment,A71EV2A-x0926a,COCC(=O)N1CCC[C@H](C(N)=O)C1,,507
A71EV2A-x0926a,x0926a,follow-on,A71EV2A-x4846a,CSc1ccccc1C(=O)N1CCC[C@H](C(N)=O)C1,0.44,507
A71EV2A-x0926a,x0926a,follow-on,A71EV2A-x5559a,N#Cc1ccc(Br)cc1OC(=O)N1CCC[C@H](C(N)=O)C1,0.3859649122807017,507
A71EV2A-x0926a,x0926a,follow-on,A71EV2A-x3556a,Cn1cc2c(CC(=O)N3CC[C@H](C(N)=O)C3)cccc2n1,0.3620689655172414,507
A71EV2A-x0812a,x0812a,fragment,A71EV2A-x0812a,Cn1nc(C(N)=O)c2ccccc21,,30
A71EV2A-x0812a,x0812a,follow-on,A71EV2A-x3181a,Cn1nc(C(=O)NCCn2cncn2)c2ccccc21,0.4791666666666667,30
A71EV2A-x0812a,x0812a,follow-on,A71EV2A-x3286a,Cc1ocnc1CCNC(=O)c1nn(C)c2ccccc12,0.4509803921568627,30
A71EV2A-x0812a,x0812a,follow-on,A71EV2A-x3264a,Cn1nc(C(=O)NCCc2cocn2)c2cccnc21,0.293103448275862,30
A71EV2A-x1019a,x1019a,fragment,A71EV2A-x1019a,COc1cc(Br)ccc1CC(=O)O,,14
A71EV2A-x1019a,x1019a,follow-on,A71EV2A-x3990a,COc1ccccc1CC(=O)N1C[C@H](C(N)=O)[C@@H](C(F)(F)F)C1,0.2807017543859649,14
A71EV2A-x1019a,x1019a,follow-on,A71EV2A-x5388a,CSc1ccc(Br)cc1CC(=O)N1CC[C@](O)(C(N)=O)C1,0.2711864406779661,14
A71EV2A-x1019a,x1019a,follow-on,A71EV2A-x7359a,CSc1ccc(Br)cc1CC(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@@H]21,0.2666666666666666,14
