rank,fragment_id,count,mean,median,min,max,q1,q3,iqr,fragment_id_short,complex_name,fragment_smiles
1,A71EV2A-x0926a,507,0.38015009625130713,0.3859649122807017,0.1948051948051948,0.5957446808510638,0.3157894736842105,0.4392982456140351,0.12350877192982457,x0926a,A71EV2A-x0926a,COCC(=O)N1CCC[C@H](C(N)=O)C1
2,A71EV2A-x0812a,30,0.3902359936132639,0.4466440422322775,0.1969696969696969,0.6571428571428571,0.2469262295081967,0.4767219387755102,0.22979570926731352,x0812a,A71EV2A-x0812a,Cn1nc(C(N)=O)c2ccccc21
3,A71EV2A-x1019a,14,0.27473947848016517,0.2689265536723163,0.2622950819672131,0.3137254901960784,0.265625,0.27949183303085295,0.013866833030852954,x1019a,A71EV2A-x1019a,COc1cc(Br)ccc1CC(=O)O
4,A71EV2A-x0739a,7,0.21613539552731473,0.208955223880597,0.1944444444444444,0.2537313432835821,0.2012658227848101,0.22664255575647974,0.025376732971669647,x0739a,A71EV2A-x0739a,Cc1ccc(OCC(=O)N2CCOCC2)c(C)c1
5,A71EV2A-x0911a,7,0.23496695217297034,0.2222222222222222,0.1710526315789473,0.3272727272727272,0.21334409470002685,0.24876644736842105,0.03542235266839419,x0911a,A71EV2A-x0911a,CN(C(=O)[C@H]1CCNC1)c1ccccc1
6,A71EV2A-x0375a,5,0.3149105071310373,0.2830188679245283,0.2777777777777778,0.4418604651162791,0.2777777777777778,0.2941176470588235,0.016339869281045694,x0375a,A71EV2A-x0375a,COc1ccccc1NC(N)=S
7,A71EV2A-x0486a,5,0.2515873015873016,0.25,0.25,0.2539682539682539,0.25,0.2539682539682539,0.003968253968253899,x0486a,A71EV2A-x0486a,CN(C)C(=O)Cn1ncc2ccccc21
8,A71EV2A-x1140a,5,0.25673133094687645,0.2727272727272727,0.1884057971014492,0.3018867924528302,0.21875,0.3018867924528302,0.08313679245283018,x1140a,A71EV2A-x1140a,O=C(CN1CCCC1)c1ccccc1Cl
9,A71EV2A-x0554b,3,0.3046524356869184,0.3166666666666666,0.2758620689655172,0.3214285714285714,0.2962643678160919,0.319047619047619,0.022783251231527135,x0554b,A71EV2A-x0554b,CC(=O)Nc1cccc2cc[nH]c12
10,A71EV2A-x0732a,3,0.28874274661508703,0.2909090909090909,0.2553191489361702,0.32,0.27311411992263057,0.3054545454545454,0.03234042553191485,x0732a,A71EV2A-x0732a,Cc1cc(C)c(NC(=O)CO)c(C)c1
11,A71EV2A-x0853a,3,0.2565972222222222,0.25,0.203125,0.3166666666666666,0.2265625,0.2833333333333333,0.056770833333333326,x0853a,A71EV2A-x0853a,O=C(NC1CC1)c1ccc2c(c1)OCO2
12,A71EV2A-x0310a,2,0.2634615384615384,0.2634615384615384,0.25,0.2769230769230769,0.2567307692307692,0.2701923076923077,0.01346153846153847,x0310a,A71EV2A-x0310a,Cc1nn(C)c(C)c1NC(=O)CC#N
13,A71EV2A-x0451a,2,0.411516379601486,0.411516379601486,0.2698412698412698,0.5531914893617021,0.3406788247213779,0.4823539344815941,0.1416751097602162,x0451a,A71EV2A-x0451a,CNC(=O)c1cn(C)c2ccccc12
14,A71EV2A-x0487a,2,0.28547008547008546,0.28547008547008546,0.2153846153846154,0.3555555555555555,0.2504273504273504,0.3205128205128205,0.07008547008547006,x0487a,A71EV2A-x0487a,CC(=O)Nc1ccncc1C
15,A71EV2A-x0515a,2,0.217391304347826,0.217391304347826,0.217391304347826,0.217391304347826,0.217391304347826,0.217391304347826,0.0,x0515a,A71EV2A-x0515a,COC(=O)c1ccncc1N
16,A71EV2A-x0528a,2,0.31880877742946706,0.31880877742946706,0.3103448275862069,0.3272727272727272,0.314576802507837,0.32304075235109714,0.008463949843260155,x0528a,A71EV2A-x0528a,CN1CC[C@@H](Oc2cccc(F)c2)C1=O
17,A71EV2A-x0556a,2,0.3323529411764706,0.3323529411764706,0.2333333333333333,0.4313725490196078,0.28284313725490196,0.3818627450980392,0.09901960784313724,x0556a,A71EV2A-x0556a,Cn1cc(N)c(C(=O)NC2CCC2)n1
18,A71EV2A-x0884a,2,0.2663043478260869,0.2663043478260869,0.25,0.2826086956521739,0.25815217391304346,0.27445652173913043,0.016304347826086973,x0884a,A71EV2A-x0884a,CC(=O)Nc1cccc(NC(N)=O)c1
19,A71EV2A-x0922a,2,0.28273809523809523,0.28273809523809523,0.2321428571428571,0.3333333333333333,0.25744047619047616,0.30803571428571425,0.05059523809523808,x0922a,A71EV2A-x0922a,Cc1ccccc1OCC(=O)N(C)C
20,A71EV2A-x0309a,1,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.0,x0309a,A71EV2A-x0309a,Cn1ccnc1-c1noc(C2CCC2)n1
21,A71EV2A-x0332a,1,0.2093023255813953,0.2093023255813953,0.2093023255813953,0.2093023255813953,0.2093023255813953,0.2093023255813953,0.0,x0332a,A71EV2A-x0332a,CNS(=O)(=O)c1ccccc1Cl
22,A71EV2A-x0365a,1,0.4,0.4,0.4,0.4,0.4,0.4,0.0,x0365a,A71EV2A-x0365a,Cn1ccc(NCc2ccccc2)n1
23,A71EV2A-x0517a,1,0.3424657534246575,0.3424657534246575,0.3424657534246575,0.3424657534246575,0.3424657534246575,0.3424657534246575,0.0,x0517a,A71EV2A-x0517a,CCn1cc(C(=O)NCc2ccc(F)cc2)cn1
