Metric,Curated complexes,Curated fragments,Curated follow-on compounds
n,881.0,79.0,802.0
Min.,0.0,0.0,25.430615481789136
Q1,35.51399379915062,14.957967999590089,35.890426546666085
Median,38.85401010873744,37.654222495670425,38.94275589203113
Q3,41.99811979469641,43.93555758663361,41.896664440442535
IQR,6.484125995545789,28.977589587043518,6.006237893776451
Mean,38.14491056535531,31.757847406399314,38.77406017826993
Max.,54.68388382434488,54.68388382434488,51.65613143915609
<30 (%),5.675368898978434,36.708860759493675,2.6184538653366585
<40 (%),59.59137343927355,60.75949367088608,59.47630922693266
<50 (%),99.31895573212259,96.20253164556962,99.62593516209476
