complex_id,most_similar_fragment,ECFP4_Tanimoto_Similarity,alignment_ok,failure_reason
A71EV2A-x0152a,A71EV2A-x0739a,0.30357142857142855,True,
A71EV2A-x0152b,A71EV2A-x0739a,0.30357142857142855,True,
A71EV2A-x0188a,A71EV2A-x0228a,0.21951219512195122,True,
A71EV2A-x0194a,A71EV2A-x0473a,0.22727272727272727,True,
A71EV2A-x0202a,A71EV2A-x0428a,0.2558139534883721,True,
A71EV2A-x0202b,A71EV2A-x0428a,0.2558139534883721,True,
A71EV2A-x0207a,A71EV2A-x0237a,0.2807017543859649,True,
A71EV2A-x0228a,A71EV2A-x0278b,0.2564102564102564,True,
A71EV2A-x0229a,A71EV2A-x0351a,0.24444444444444444,True,
A71EV2A-x0229b,A71EV2A-x0351a,0.24444444444444444,True,
A71EV2A-x0237a,A71EV2A-x0416a,0.34615384615384615,True,
A71EV2A-x0239a,A71EV2A-x1080a,0.2564102564102564,True,
A71EV2A-x0269a,A71EV2A-x1292a,0.38095238095238093,True,
A71EV2A-x0278a,A71EV2A-x0228a,0.2564102564102564,True,
A71EV2A-x0278b,A71EV2A-x0228a,0.2564102564102564,True,
A71EV2A-x0305a,A71EV2A-x0332a,0.48484848484848486,True,
A71EV2A-x0309a,A71EV2A-x0556a,0.23214285714285715,True,
A71EV2A-x0310a,A71EV2A-x0732a,0.2857142857142857,True,
A71EV2A-x0332a,A71EV2A-x0305a,0.48484848484848486,True,
A71EV2A-x0333a,A71EV2A-x0229b,0.3333333333333333,True,
A71EV2A-x0351a,A71EV2A-x0853a,0.3404255319148936,True,
A71EV2A-x0351b,A71EV2A-x0853a,0.3404255319148936,True,
A71EV2A-x0351c,A71EV2A-x0853a,0.3404255319148936,True,
A71EV2A-x0354a,A71EV2A-x0416a,0.22641509433962265,True,
A71EV2A-x0359a,A71EV2A-x0540a,0.42424242424242425,True,
A71EV2A-x0365a,A71EV2A-x0437a,0.21951219512195122,True,
A71EV2A-x0375a,A71EV2A-x0501a,0.2857142857142857,True,
A71EV2A-x0375b,A71EV2A-x0501a,0.2857142857142857,True,
A71EV2A-x0375c,A71EV2A-x0501a,0.2857142857142857,True,
A71EV2A-x0395a,A71EV2A-x0884a,0.2926829268292683,True,
A71EV2A-x0395b,A71EV2A-x0884a,0.2926829268292683,True,
A71EV2A-x0396a,A71EV2A-x0514a,0.25,True,
A71EV2A-x0412a,A71EV2A-x0486a,0.3,True,
A71EV2A-x0416a,A71EV2A-x0237a,0.34615384615384615,True,
A71EV2A-x0428a,A71EV2A-x0526a,0.3076923076923077,True,
A71EV2A-x0432a,A71EV2A-x1068a,0.20689655172413793,True,
A71EV2A-x0437a,A71EV2A-x0365a,0.21951219512195122,True,
A71EV2A-x0443a,A71EV2A-x1293a,0.3235294117647059,True,
A71EV2A-x0446a,A71EV2A-x0451a,0.2558139534883721,True,
A71EV2A-x0450a,A71EV2A-x0922a,0.25,True,
A71EV2A-x0451a,A71EV2A-x0812a,0.35714285714285715,True,
A71EV2A-x0469a,A71EV2A-x1068a,0.2413793103448276,True,
A71EV2A-x0473a,A71EV2A-x0194a,0.22727272727272727,True,
A71EV2A-x0486a,A71EV2A-x0922a,0.3333333333333333,True,
A71EV2A-x0487a,A71EV2A-x0515a,0.358974358974359,True,
A71EV2A-x0488a,A71EV2A-x1255a,0.22727272727272727,True,
A71EV2A-x0497a,A71EV2A-x0812a,0.18181818181818182,True,
A71EV2A-x0501a,A71EV2A-x0375a,0.2857142857142857,True,
A71EV2A-x0501b,A71EV2A-x0375a,0.2857142857142857,True,
A71EV2A-x0514a,A71EV2A-x0836a,0.275,True,
A71EV2A-x0514b,A71EV2A-x0836a,0.275,True,
A71EV2A-x0515a,A71EV2A-x0487a,0.358974358974359,True,
A71EV2A-x0515b,A71EV2A-x0487a,0.358974358974359,True,
A71EV2A-x0515c,A71EV2A-x0487a,0.358974358974359,True,
A71EV2A-x0517a,A71EV2A-x0540a,0.3125,True,
A71EV2A-x0525a,A71EV2A-x0836a,0.20512820512820512,True,
A71EV2A-x0526a,A71EV2A-x0428a,0.3076923076923077,True,
A71EV2A-x0528a,A71EV2A-x0450a,0.21568627450980393,True,
A71EV2A-x0528b,A71EV2A-x0450a,0.21568627450980393,True,
A71EV2A-x0540a,A71EV2A-x0359a,0.42424242424242425,True,
