Name,is_binder,score
A71EV2A-x1346a,1,3.4794719219
A71EV2A-x2293a,1,2.816141367
A71EV2A-x2499,0,2.3191978931
A71EV2A-x2846a,1,4.1781520844
A71EV2A-x2972a,1,2.68699193
A71EV2A-x3054a,1,3.4150242805
A71EV2A-x3175a,1,3.6488287449
A71EV2A-x3181a,1,3.4509248734
A71EV2A-x3186a,1,5.281727314
A71EV2A-x3188a,1,3.8812468052
A71EV2A-x3191a,1,5.1800599098
A71EV2A-x3193a,1,3.6167786121
A71EV2A-x3194a,1,5.1137785912
A71EV2A-x3201a,1,4.784468174
A71EV2A-x3207a,1,4.1823430061
A71EV2A-x3208a,1,3.0697388649
A71EV2A-x3210a,1,4.0692520142
A71EV2A-x3218a,1,3.4562897682
A71EV2A-x3221a,1,4.8505783081
A71EV2A-x3223a,1,3.2803740501
A71EV2A-x3225a,1,4.3878312111
A71EV2A-x3229a,1,3.6620442867
A71EV2A-x3234a,1,2.71697855
A71EV2A-x3264a,1,2.2299342155
A71EV2A-x3280a,1,3.1167314053
A71EV2A-x3286a,1,2.6905636787
A71EV2A-x3305a,1,3.7422657013
A71EV2A-x3306a,1,3.643474102
A71EV2A-x3324a,1,4.3569993973
A71EV2A-x3371a,1,2.4444024563
A71EV2A-x3379a,1,2.8709857464
A71EV2A-x3392a,1,3.2880148888
A71EV2A-x3403a,1,3.4359791279
A71EV2A-x3410a,1,3.2177476883
A71EV2A-x3419a,1,2.3757910728
A71EV2A-x3450a,1,4.9323596954
A71EV2A-x3480a,1,3.2991755009
A71EV2A-x3483a,1,4.0267906189
A71EV2A-x3485a,1,4.0698475838
A71EV2A-x3488a,1,5.3077344894
A71EV2A-x3489a,1,2.3323769569
A71EV2A-x3509a,1,2.9507505894
A71EV2A-x3510a,1,3.8799467087
A71EV2A-x3521a,1,2.5306787491
A71EV2A-x3522a,1,3.0533185005
A71EV2A-x3546a,1,4.7773103714
A71EV2A-x3550a,1,4.1139016151
A71EV2A-x3556a,1,3.7396817207
A71EV2A-x3557a,1,4.6683359146
A71EV2A-x3564a,1,4.3497681618
A71EV2A-x3568a,1,2.5679695606
A71EV2A-x3571a,1,2.8312535286
A71EV2A-x3575a,1,5.0601019859
A71EV2A-x3579a,1,4.6148958206
A71EV2A-x3581a,1,4.9105563164
A71EV2A-x3585a,1,3.9348063469
A71EV2A-x3606a,1,2.7713196278
A71EV2A-x3612a,1,4.92547369
