Name,is_binder,score
A71EV2A-x1346a,1,6.3190002441
A71EV2A-x2293a,1,5.1864929199
A71EV2A-x2499,0,6.8210902214
A71EV2A-x2846a,1,5.1453537941
A71EV2A-x2972a,1,5.3352966309
A71EV2A-x3054a,1,5.6624808311
A71EV2A-x3175a,1,5.2087287903
A71EV2A-x3181a,1,4.9751000404
A71EV2A-x3186a,1,5.5630302429
A71EV2A-x3188a,1,5.9242534637
A71EV2A-x3191a,1,6.0488014221
A71EV2A-x3193a,1,5.749786377
A71EV2A-x3194a,1,5.5047974586
A71EV2A-x3201a,1,5.4211153984
A71EV2A-x3207a,1,5.5205292702
A71EV2A-x3208a,1,5.6934299469
A71EV2A-x3210a,1,5.782810688
A71EV2A-x3218a,1,5.7366681099
A71EV2A-x3221a,1,5.6309704781
A71EV2A-x3223a,1,5.802464962
A71EV2A-x3225a,1,6.0620903969
A71EV2A-x3229a,1,5.3132481575
A71EV2A-x3234a,1,4.5942659378
A71EV2A-x3264a,1,5.4604887962
A71EV2A-x3280a,1,5.2938971519
A71EV2A-x3286a,1,5.1382331848
A71EV2A-x3305a,1,5.7737259865
A71EV2A-x3306a,1,5.1957392693
A71EV2A-x3324a,1,5.5941996574
A71EV2A-x3371a,1,5.1034302711
A71EV2A-x3379a,1,5.2475910187
A71EV2A-x3392a,1,5.0168781281
A71EV2A-x3403a,1,5.3929448128
A71EV2A-x3410a,1,5.6266479492
A71EV2A-x3419a,1,5.2336068153
A71EV2A-x3450a,1,5.9809589386
A71EV2A-x3480a,1,5.4417386055
A71EV2A-x3483a,1,5.5899252892
A71EV2A-x3485a,1,5.4351630211
A71EV2A-x3488a,1,6.306447506
A71EV2A-x3489a,1,5.5621743202
A71EV2A-x3509a,1,5.3644051552
A71EV2A-x3510a,1,5.6410079002
A71EV2A-x3521a,1,5.5341982841
A71EV2A-x3522a,1,5.1946754456
A71EV2A-x3546a,1,5.6979279518
A71EV2A-x3550a,1,5.4840703011
A71EV2A-x3556a,1,5.6990122795
A71EV2A-x3557a,1,5.4603886604
A71EV2A-x3564a,1,5.508020401
A71EV2A-x3568a,1,4.8888773918
A71EV2A-x3571a,1,5.3868479729
A71EV2A-x3575a,1,5.8545341492
A71EV2A-x3579a,1,5.1063790321
A71EV2A-x3581a,1,5.3334784508
A71EV2A-x3585a,1,5.7076478004
A71EV2A-x3606a,1,6.2020568848
A71EV2A-x3612a,1,5.5744795799
A71EV2A-x3616a,1,5.4449315071
A71EV2A-x3618a,1,5.8139357567
A71EV2A-x3623a,1,4.7499537468
A71EV2A-x3634a,1,4.8946871758
A71EV2A-x3663a,1,5.1183400154
A71EV2A-x3665a,1,5.4852294922
A71EV2A-x3685a,1,5.6816291809
A71EV2A-x3694a,1,5.3431129456
A71EV2A-x3706a,1,5.5302662849
A71EV2A-x3747,0,5.8589129448
A71EV2A-x3748,0,5.9458518028
A71EV2A-x3749,0,5.064907074
A71EV2A-x3750,0,5.5195803642
A71EV2A-x3751,0,5.0284113884
A71EV2A-x3752,0,5.4377999306
A71EV2A-x3753,0,5.5315132141
A71EV2A-x3754,0,5.0265479088
A71EV2A-x3756,0,5.2200798988
A71EV2A-x3757,0,5.4100990295
A71EV2A-x3758,0,5.8734760284
A71EV2A-x3759,0,5.0301356316
A71EV2A-x3760,0,5.570499897
A71EV2A-x3762,0,4.9972448349
A71EV2A-x3763,0,5.8046841621
