Name,is_binder,score
A71EV2A-x1346a,1,0.5506364703
A71EV2A-x2293a,1,0.5770558119
A71EV2A-x2499,0,0.3877092898
A71EV2A-x2846a,1,0.8235836625
A71EV2A-x2972a,1,0.5893093348
A71EV2A-x3054a,1,0.6030968428
A71EV2A-x3175a,1,0.7890995741
A71EV2A-x3181a,1,0.7058703303
A71EV2A-x3186a,1,0.9494335055
A71EV2A-x3188a,1,0.6551452875
A71EV2A-x3191a,1,0.8615697026
A71EV2A-x3193a,1,0.632478714
A71EV2A-x3194a,1,0.9289675951
A71EV2A-x3201a,1,0.8825615644
A71EV2A-x3207a,1,0.7821657658
A71EV2A-x3208a,1,0.6273936629
A71EV2A-x3210a,1,0.7409895658
A71EV2A-x3218a,1,0.6045805216
A71EV2A-x3221a,1,0.8614106774
A71EV2A-x3223a,1,0.5653414726
A71EV2A-x3225a,1,0.7976076007
A71EV2A-x3229a,1,0.7614430189
A71EV2A-x3234a,1,0.5913847089
A71EV2A-x3264a,1,0.4379127324
A71EV2A-x3280a,1,0.6089534163
A71EV2A-x3286a,1,0.5422454476
A71EV2A-x3305a,1,0.6558427215
A71EV2A-x3306a,1,0.7344556451
A71EV2A-x3324a,1,0.7788422704
A71EV2A-x3371a,1,0.6021354795
A71EV2A-x3379a,1,0.5642008185
A71EV2A-x3392a,1,0.7249763608
A71EV2A-x3403a,1,0.6371248364
A71EV2A-x3410a,1,0.6631680727
A71EV2A-x3419a,1,0.5455278754
A71EV2A-x3450a,1,0.8246770501
A71EV2A-x3480a,1,0.6850792766
A71EV2A-x3483a,1,0.7940895557
A71EV2A-x3485a,1,0.7487995625
A71EV2A-x3488a,1,0.8607016206
A71EV2A-x3489a,1,0.4418584704
A71EV2A-x3509a,1,0.5500611067
A71EV2A-x3510a,1,0.7603978515
A71EV2A-x3521a,1,0.5999424458
A71EV2A-x3522a,1,0.6088312864
A71EV2A-x3546a,1,0.8384293914
A71EV2A-x3550a,1,0.7948057652
A71EV2A-x3556a,1,0.6573337913
A71EV2A-x3557a,1,0.8687865734
A71EV2A-x3564a,1,0.7897153497
A71EV2A-x3568a,1,0.66901052
A71EV2A-x3571a,1,0.558032155
A71EV2A-x3575a,1,0.8898454905
A71EV2A-x3579a,1,0.9089224935
A71EV2A-x3581a,1,0.9424822927
A71EV2A-x3585a,1,0.7125304937
A71EV2A-x3606a,1,0.4468387961
A71EV2A-x3612a,1,0.8835754991
A71EV2A-x3616a,1,0.7678954601
A71EV2A-x3618a,1,0.7838757634
A71EV2A-x3623a,1,0.874263823
A71EV2A-x3634a,1,0.5856164098
A71EV2A-x3663a,1,0.8342123628
A71EV2A-x3665a,1,0.8189444542
A71EV2A-x3685a,1,0.7706871629
A71EV2A-x3694a,1,0.84360075
A71EV2A-x3706a,1,0.6423085332
A71EV2A-x3747,0,0.6886087656
A71EV2A-x3748,0,0.4427071214
A71EV2A-x3749,0,0.3870616257
A71EV2A-x3750,0,0.6864762306
A71EV2A-x3751,0,0.4781574607
A71EV2A-x3752,0,0.7624867558
A71EV2A-x3753,0,0.6598148942
A71EV2A-x3754,0,0.618165791
A71EV2A-x3756,0,0.5858212709
A71EV2A-x3757,0,0.5776310563
A71EV2A-x3758,0,0.6697112322
A71EV2A-x3759,0,0.718300879
A71EV2A-x3760,0,0.6344840527
A71EV2A-x3762,0,0.5899906158
A71EV2A-x3763,0,0.7642815113
A71EV2A-x3764,0,0.6152752638
A71EV2A-x3765,0,0.6525520086
A71EV2A-x3766,0,0.3439427614
A71EV2A-x3767,0,0.7052460909
A71EV2A-x3768,0,0.8019562364
A71EV2A-x3769,0,0.7280321121
A71EV2A-x3770,0,0.8458319306
A71EV2A-x3771,0,0.849398315
A71EV2A-x3772,0,0.4491151571
A71EV2A-x3773,0,0.8317470551
A71EV2A-x3774,0,0.9061407447
A71EV2A-x3775,0,0.4559396207
A71EV2A-x3776,0,0.4329437613
A71EV2A-x3777,0,0.6007513404
A71EV2A-x3778,0,0.6566851735
A71EV2A-x3779,0,0.5026211739
A71EV2A-x3781,0,0.5522767305
A71EV2A-x3783,0,0.7252488136
A71EV2A-x3784,0,0.655685246
A71EV2A-x3785,0,0.5827946067
A71EV2A-x3788,0,0.6386129856
A71EV2A-x3789,0,0.5166621804
A71EV2A-x3790,0,0.4279972017
A71EV2A-x3791,0,0.75900805
A71EV2A-x3792,0,0.7471923232
A71EV2A-x3793,0,0.9298242331
A71EV2A-x3794,0,0.5227846503
A71EV2A-x3795,0,0.6446670294
A71EV2A-x3796,0,0.8096389771
A71EV2A-x3797,0,0.4204090834
A71EV2A-x3798,0,0.4010052085
A71EV2A-x3801,0,0.5764673948
A71EV2A-x3802,0,0.6032521725
A71EV2A-x3803,0,0.7886589766
A71EV2A-x3804,0,0.6686064601
A71EV2A-x3805,0,0.5482783914
A71EV2A-x3806,0,0.8320131302
A71EV2A-x3807,0,0.7182794809
A71EV2A-x3810,0,0.5619576573
A71EV2A-x3811,0,0.4733541012
A71EV2A-x3812,0,0.7984668612
A71EV2A-x3813,0,0.7873654962
A71EV2A-x3814,0,0.4873917103
A71EV2A-x3815,0,0.6028827429
A71EV2A-x3816,0,0.8505459428
A71EV2A-x3817,0,0.3558337688
A71EV2A-x3818,0,0.6648404002
A71EV2A-x3820,0,0.7225857377
A71EV2A-x3821,0,0.2980386019
A71EV2A-x3822,0,0.3538373113
A71EV2A-x3823,0,0.4409658313
A71EV2A-x3824,0,0.6726944447
