Name,is_binder,score
A71EV2A-x1346a,1,412.921
A71EV2A-x2293a,1,320.396
A71EV2A-x2499,0,679.863
A71EV2A-x2846a,1,270.292
A71EV2A-x2972a,1,255.281
A71EV2A-x3054a,1,261.325
A71EV2A-x3175a,1,269.304
A71EV2A-x3181a,1,270.296
A71EV2A-x3186a,1,276.336
A71EV2A-x3188a,1,300.362
A71EV2A-x3191a,1,286.331
A71EV2A-x3193a,1,360.639
A71EV2A-x3194a,1,261.325
A71EV2A-x3201a,1,277.324
A71EV2A-x3207a,1,262.313
A71EV2A-x3208a,1,348.752
A71EV2A-x3210a,1,286.335
A71EV2A-x3218a,1,277.328
A71EV2A-x3221a,1,264.329
A71EV2A-x3223a,1,273.296
A71EV2A-x3225a,1,300.362
A71EV2A-x3229a,1,277.324
A71EV2A-x3234a,1,257.337
A71EV2A-x3264a,1,271.28
A71EV2A-x3280a,1,316.311
A71EV2A-x3286a,1,284.319
A71EV2A-x3305a,1,310.361
A71EV2A-x3306a,1,286.36
A71EV2A-x3324a,1,357.435
A71EV2A-x3371a,1,283.335
A71EV2A-x3379a,1,284.319
A71EV2A-x3392a,1,257.293
A71EV2A-x3403a,1,256.265
A71EV2A-x3410a,1,284.319
A71EV2A-x3419a,1,298.302
A71EV2A-x3450a,1,277.349
A71EV2A-x3480a,1,286.335
A71EV2A-x3483a,1,291.351
A71EV2A-x3485a,1,277.324
A71EV2A-x3488a,1,348.786
A71EV2A-x3489a,1,304.394
A71EV2A-x3509a,1,272.308
A71EV2A-x3510a,1,261.325
A71EV2A-x3521a,1,353.249
A71EV2A-x3522a,1,321.764
A71EV2A-x3546a,1,294.326
A71EV2A-x3550a,1,290.363
A71EV2A-x3556a,1,286.335
A71EV2A-x3557a,1,306.362
A71EV2A-x3564a,1,255.277
A71EV2A-x3568a,1,269.304
A71EV2A-x3571a,1,290.363
A71EV2A-x3575a,1,301.346
A71EV2A-x3579a,1,262.309
A71EV2A-x3581a,1,262.309
A71EV2A-x3585a,1,315.377
A71EV2A-x3606a,1,395.29
A71EV2A-x3612a,1,265.288
A71EV2A-x3616a,1,275.352
A71EV2A-x3618a,1,318.377
A71EV2A-x3623a,1,294.376
A71EV2A-x3634a,1,276.336
A71EV2A-x3663a,1,278.308
A71EV2A-x3665a,1,312.316
A71EV2A-x3685a,1,277.324
A71EV2A-x3694a,1,276.336
A71EV2A-x3706a,1,275.352
A71EV2A-x3747,0,334.206
A71EV2A-x3748,0,351.41
A71EV2A-x3749,0,341.414
A71EV2A-x3750,0,344.212
A71EV2A-x3751,0,333.313
A71EV2A-x3752,0,333.313
A71EV2A-x3753,0,357.413
A71EV2A-x3754,0,295.342
A71EV2A-x3756,0,334.206
A71EV2A-x3757,0,324.34
A71EV2A-x3758,0,297.314
A71EV2A-x3759,0,313.313
A71EV2A-x3760,0,336.214
A71EV2A-x3762,0,301.296
A71EV2A-x3763,0,344.212
A71EV2A-x3764,0,324.296
A71EV2A-x3765,0,341.367
A71EV2A-x3766,0,319.408
A71EV2A-x3767,0,295.346
A71EV2A-x3768,0,368.868
A71EV2A-x3769,0,352.781
A71EV2A-x3770,0,356.223
A71EV2A-x3771,0,339.395
A71EV2A-x3772,0,313.307
A71EV2A-x3773,0,317.751
A71EV2A-x3774,0,341.414
A71EV2A-x3775,0,295.298
A71EV2A-x3776,0,356.338
A71EV2A-x3777,0,297.289
A71EV2A-x3778,0,323.352
A71EV2A-x3779,0,322.412
A71EV2A-x3781,0,345.402
A71EV2A-x3783,0,334.206
A71EV2A-x3784,0,337.398
A71EV2A-x3785,0,298.35
A71EV2A-x3788,0,325.368
A71EV2A-x3789,0,310.313
A71EV2A-x3790,0,295.342
A71EV2A-x3791,0,300.387
A71EV2A-x3792,0,367.796
A71EV2A-x3793,0,309.369
A71EV2A-x3794,0,335.407
A71EV2A-x3795,0,369.852
A71EV2A-x3796,0,311.307
A71EV2A-x3797,0,341.459
A71EV2A-x3798,0,315.373
A71EV2A-x3801,0,313.401
A71EV2A-x3802,0,319.408
A71EV2A-x3803,0,328.416
A71EV2A-x3804,0,315.417
A71EV2A-x3805,0,344.418
A71EV2A-x3806,0,311.307
A71EV2A-x3807,0,487.531
A71EV2A-x3810,0,312.373
A71EV2A-x3811,0,328.416
A71EV2A-x3812,0,340.471
A71EV2A-x3813,0,333.435
A71EV2A-x3814,0,356.47
A71EV2A-x3815,0,330.388
A71EV2A-x3816,0,340.427
A71EV2A-x3817,0,337.383
A71EV2A-x3818,0,314.389
A71EV2A-x3820,0,374.488
A71EV2A-x3821,0,369.469
A71EV2A-x3822,0,375.428
A71EV2A-x3823,0,350.422
A71EV2A-x3824,0,353.426
A71EV2A-x3825,0,314.433
A71EV2A-x3826,0,326.4
A71EV2A-x3827,0,378.407
A71EV2A-x3829,0,314.389
A71EV2A-x3830,0,337.383
A71EV2A-x3832,0,378.48
A71EV2A-x3833,0,414.303
A71EV2A-x3834,0,327.344
A71EV2A-x3835,0,321.402
A71EV2A-x3836,0,349.434
A71EV2A-x3837,0,353.853
