Name,is_binder,score
A71EV2A-x1346a,1,-2.9451
A71EV2A-x2293a,1,-2.0176
A71EV2A-x2499,0,-2.4459
A71EV2A-x2846a,1,-1.5338
A71EV2A-x2972a,1,-1.2264
A71EV2A-x3054a,1,-1.7242
A71EV2A-x3175a,1,-2.4047
A71EV2A-x3181a,1,-0.5948
A71EV2A-x3186a,1,-0.9616
A71EV2A-x3188a,1,-0.8397
A71EV2A-x3191a,1,-1.6992
A71EV2A-x3193a,1,-1.7639
A71EV2A-x3194a,1,-0.6564
A71EV2A-x3201a,1,-0.3566
A71EV2A-x3207a,1,0.0698
A71EV2A-x3208a,1,-2.6252
A71EV2A-x3210a,1,-0.8293
A71EV2A-x3218a,1,-0.0328
A71EV2A-x3221a,1,-0.2929
A71EV2A-x3223a,1,-0.2954
A71EV2A-x3225a,1,-1.0686
A71EV2A-x3229a,1,-0.3566
A71EV2A-x3234a,1,-3.1233
A71EV2A-x3264a,1,-0.9288
A71EV2A-x3280a,1,-2.4901
A71EV2A-x3286a,1,-1.8422
A71EV2A-x3305a,1,-1.8828
A71EV2A-x3306a,1,-2.0023
A71EV2A-x3324a,1,-1.9493
A71EV2A-x3371a,1,-1.2793
A71EV2A-x3379a,1,-1.9223
A71EV2A-x3392a,1,-1.9894
A71EV2A-x3403a,1,-1.7425
A71EV2A-x3410a,1,-1.8422
A71EV2A-x3419a,1,-0.894
A71EV2A-x3450a,1,-0.8862
A71EV2A-x3480a,1,-1.4819
A71EV2A-x3483a,1,-1.5622
A71EV2A-x3485a,1,-1.4244
A71EV2A-x3488a,1,-3.1245
A71EV2A-x3489a,1,-0.7942
A71EV2A-x3509a,1,-1.2875
A71EV2A-x3510a,1,-1.7242
A71EV2A-x3521a,1,-3.46
A71EV2A-x3522a,1,-2.6023
A71EV2A-x3546a,1,-1.1007
A71EV2A-x3550a,1,-1.3501
A71EV2A-x3556a,1,-0.4496
A71EV2A-x3557a,1,-0.9702
A71EV2A-x3564a,1,-1.7412
A71EV2A-x3568a,1,-2.4368
A71EV2A-x3571a,1,-1.3517
A71EV2A-x3575a,1,-0.8333
A71EV2A-x3579a,1,-0.9191
A71EV2A-x3581a,1,-0.5715
A71EV2A-x3585a,1,-1.6109
A71EV2A-x3606a,1,-2.6603
A71EV2A-x3612a,1,-1.5549
A71EV2A-x3616a,1,-1.4019
A71EV2A-x3618a,1,-1.1655
A71EV2A-x3623a,1,-2.2061
A71EV2A-x3634a,1,-0.8175
A71EV2A-x3663a,1,0.0496
A71EV2A-x3665a,1,-1.2068
A71EV2A-x3685a,1,-0.5069
A71EV2A-x3694a,1,-0.9616
A71EV2A-x3706a,1,-1.4019
A71EV2A-x3747,0,-3.8422
A71EV2A-x3748,0,-1.7612
A71EV2A-x3749,0,-4.1248
A71EV2A-x3750,0,-3.5638
A71EV2A-x3751,0,-3.5542
A71EV2A-x3752,0,-3.5542
A71EV2A-x3753,0,-3.7676
A71EV2A-x3754,0,-2.544
A71EV2A-x3756,0,-3.8422
A71EV2A-x3757,0,-1.0949
A71EV2A-x3758,0,-1.7319
A71EV2A-x3759,0,-1.4375
A71EV2A-x3760,0,-3.3169
