Name,is_binder,score
A71EV2A-x1346a,1,0.8725452423095703
A71EV2A-x2293a,1,0.9363253712654114
A71EV2A-x2499,0,0.957817
A71EV2A-x2846a,1,0.937162220478058
A71EV2A-x2972a,1,0.9432422518730164
A71EV2A-x3054a,1,0.945258617401123
A71EV2A-x3175a,1,0.9343169927597046
A71EV2A-x3181a,1,0.940627932548523
A71EV2A-x3186a,1,0.9084070324897766
A71EV2A-x3188a,1,0.9197059869766236
A71EV2A-x3191a,1,0.897657573223114
A71EV2A-x3193a,1,0.8710821270942688
A71EV2A-x3194a,1,0.8751198649406433
A71EV2A-x3201a,1,0.9004995226860046
A71EV2A-x3207a,1,0.8602189421653748
A71EV2A-x3208a,1,0.9309408664703368
A71EV2A-x3210a,1,0.9023690223693848
A71EV2A-x3218a,1,0.9165154695510864
A71EV2A-x3221a,1,0.883989155292511
A71EV2A-x3223a,1,0.9227997660636902
A71EV2A-x3225a,1,0.9066476821899414
A71EV2A-x3229a,1,0.8981865048408508
A71EV2A-x3234a,1,0.9003016948699951
A71EV2A-x3264a,1,0.9347772598266602
A71EV2A-x3280a,1,0.9378421902656556
A71EV2A-x3286a,1,0.931029975414276
A71EV2A-x3305a,1,0.9317291975021362
A71EV2A-x3306a,1,0.9417569041252136
A71EV2A-x3324a,1,0.9241008758544922
A71EV2A-x3371a,1,0.9310348033905028
A71EV2A-x3379a,1,0.90338134765625
A71EV2A-x3392a,1,0.9298295378684998
A71EV2A-x3403a,1,0.9233940243721008
A71EV2A-x3410a,1,0.8468832969665527
A71EV2A-x3419a,1,0.8611254096031189
A71EV2A-x3450a,1,0.9263154864311218
A71EV2A-x3480a,1,0.8919346928596497
A71EV2A-x3483a,1,0.9199725389480592
A71EV2A-x3485a,1,0.9270084500312804
A71EV2A-x3488a,1,0.909536361694336
A71EV2A-x3489a,1,0.8683746457099915
A71EV2A-x3509a,1,0.9262582063674928
A71EV2A-x3510a,1,0.9466426968574524
A71EV2A-x3521a,1,0.7822068929672241
A71EV2A-x3522a,1,0.921677827835083
A71EV2A-x3546a,1,0.924566388130188
A71EV2A-x3550a,1,0.8952184319496155
A71EV2A-x3556a,1,0.9068120121955872
A71EV2A-x3557a,1,0.8920273184776306
A71EV2A-x3564a,1,0.941645085811615
A71EV2A-x3568a,1,0.91300630569458
A71EV2A-x3571a,1,0.8841767311096191
A71EV2A-x3575a,1,0.9157907962799072
A71EV2A-x3579a,1,0.912720024585724
A71EV2A-x3581a,1,0.899044930934906
A71EV2A-x3585a,1,0.9124789834022522
A71EV2A-x3606a,1,0.912051558494568
A71EV2A-x3612a,1,0.9419283866882324
A71EV2A-x3616a,1,0.9567922353744508
A71EV2A-x3618a,1,0.9215797185897828
A71EV2A-x3623a,1,0.8969249725341797
A71EV2A-x3634a,1,0.9156719446182252
A71EV2A-x3663a,1,0.8950929641723633
A71EV2A-x3665a,1,0.898861289024353
A71EV2A-x3685a,1,0.893986701965332
A71EV2A-x3694a,1,0.8891206979751587
A71EV2A-x3706a,1,0.9187995791435242
A71EV2A-x3747,0,0.94821
A71EV2A-x3748,0,0.860343
A71EV2A-x3749,0,0.864175
A71EV2A-x3750,0,0.913156
A71EV2A-x3751,0,0.898758
A71EV2A-x3752,0,0.933351
A71EV2A-x3753,0,0.901252
A71EV2A-x3754,0,0.925216
A71EV2A-x3756,0,0.956618
A71EV2A-x3757,0,0.941334
A71EV2A-x3758,0,0.938793
A71EV2A-x3759,0,0.906743
A71EV2A-x3760,0,0.916787
A71EV2A-x3762,0,0.94676
A71EV2A-x3763,0,0.934854
A71EV2A-x3764,0,0.895032
A71EV2A-x3765,0,0.889298
A71EV2A-x3766,0,0.857251
A71EV2A-x3767,0,0.949706
A71EV2A-x3768,0,0.904656
A71EV2A-x3769,0,0.870038
A71EV2A-x3770,0,0.945929
A71EV2A-x3771,0,0.892284
A71EV2A-x3772,0,0.937455
A71EV2A-x3773,0,0.942187
A71EV2A-x3774,0,0.883894
A71EV2A-x3775,0,0.937143
A71EV2A-x3776,0,0.907013
A71EV2A-x3777,0,0.945605
A71EV2A-x3778,0,0.908263
A71EV2A-x3779,0,0.902298
A71EV2A-x3781,0,0.922127
A71EV2A-x3783,0,0.948558
A71EV2A-x3784,0,0.898712
A71EV2A-x3785,0,0.837686
A71EV2A-x3788,0,0.927221
A71EV2A-x3789,0,0.895777
A71EV2A-x3790,0,0.886706
A71EV2A-x3791,0,0.92428
A71EV2A-x3792,0,0.914211
A71EV2A-x3793,0,0.912575
A71EV2A-x3794,0,0.872226
A71EV2A-x3795,0,0.882628
A71EV2A-x3796,0,0.906385
A71EV2A-x3797,0,0.915743
A71EV2A-x3798,0,0.885249
A71EV2A-x3801,0,0.893277
A71EV2A-x3802,0,0.912125
A71EV2A-x3803,0,0.884411
A71EV2A-x3804,0,0.873093
A71EV2A-x3805,0,0.872164
A71EV2A-x3806,0,0.906136
A71EV2A-x3807,0,0.910743
A71EV2A-x3810,0,0.906831
A71EV2A-x3811,0,0.913163
A71EV2A-x3812,0,0.88693
A71EV2A-x3813,0,0.890251
A71EV2A-x3814,0,0.923824
A71EV2A-x3815,0,0.890514
A71EV2A-x3816,0,0.909445
A71EV2A-x3817,0,0.887513
A71EV2A-x3818,0,0.890714
A71EV2A-x3820,0,0.901052
A71EV2A-x3821,0,0.876985
A71EV2A-x3822,0,0.897812
A71EV2A-x3823,0,0.87232
A71EV2A-x3824,0,0.901742
A71EV2A-x3825,0,0.881279
A71EV2A-x3826,0,0.899707
A71EV2A-x3827,0,0.914547
A71EV2A-x3829,0,0.896173
A71EV2A-x3830,0,0.887468
A71EV2A-x3832,0,0.882406
A71EV2A-x3833,0,0.896985
A71EV2A-x3834,0,0.896715
A71EV2A-x3835,0,0.900891
A71EV2A-x3836,0,0.876925
A71EV2A-x3837,0,0.921187
A71EV2A-x3838,0,0.89609
A71EV2A-x3839,0,0.937939
A71EV2A-x3840,0,0.92465
A71EV2A-x3841,0,0.849416
A71EV2A-x3842,0,0.888348
A71EV2A-x3843,0,0.88807
A71EV2A-x3844,0,0.887872
A71EV2A-x3849a,1,0.9022825360298156
A71EV2A-x3858a,1,0.9385747313499452
A71EV2A-x3862a,1,0.903849959373474
A71EV2A-x3867a,1,0.8940050005912781
A71EV2A-x3868a,1,0.9397132396697998
A71EV2A-x3883a,1,0.9071409106254578
A71EV2A-x3884a,1,0.8994737267494202
A71EV2A-x3890a,1,0.9193817377090454
A71EV2A-x3897a,1,0.904707133769989
A71EV2A-x3901a,1,0.9018044471740724
A71EV2A-x3908a,1,0.9128342866897584
A71EV2A-x3936a,1,0.8264396786689758
A71EV2A-x3937a,1,0.8713364601135254
A71EV2A-x3939a,1,0.9374240636825562
A71EV2A-x3940a,1,0.9141857624053956
A71EV2A-x3942a,1,0.931066393852234
A71EV2A-x3944a,1,0.8023978471755981
A71EV2A-x3954a,1,0.910694658756256
A71EV2A-x3956a,1,0.895577609539032
A71EV2A-x3963a,1,0.8624698519706726
A71EV2A-x3968a,1,0.8859185576438904
A71EV2A-x3975a,1,0.873432457447052
A71EV2A-x3981a,1,0.8805732727050781
A71EV2A-x3982a,1,0.8870782852172852
A71EV2A-x3986a,1,0.8734989762306213
A71EV2A-x3989a,1,0.9053000807762146
A71EV2A-x3990a,1,0.8847140669822693
A71EV2A-x3992a,1,0.8682698011398315
A71EV2A-x3993a,1,0.9243387579917908
A71EV2A-x4012a,1,0.9145666360855104
A71EV2A-x4017a,1,0.8769494891166687
A71EV2A-x4018a,1,0.9047244787216188
A71EV2A-x4020a,1,0.8933246731758118
A71EV2A-x4028a,1,0.9098021984100342
