Name,is_binder,score
A71EV2A-x1346a,1,7.52791
A71EV2A-x2293a,1,8.01555
A71EV2A-x2499,0,6.64788
A71EV2A-x2846a,1,7.08686
A71EV2A-x2972a,1,7.33531
A71EV2A-x3054a,1,7.64461
A71EV2A-x3175a,1,7.24979
A71EV2A-x3181a,1,7.00766
A71EV2A-x3186a,1,7.15547
A71EV2A-x3188a,1,7.73966
A71EV2A-x3191a,1,7.6126
A71EV2A-x3193a,1,7.05532
A71EV2A-x3194a,1,7.07696
A71EV2A-x3201a,1,6.75169
A71EV2A-x3207a,1,7.21112
A71EV2A-x3208a,1,7.92425
A71EV2A-x3210a,1,7.89218
A71EV2A-x3218a,1,7.91419
A71EV2A-x3221a,1,7.68503
A71EV2A-x3223a,1,7.93538
A71EV2A-x3225a,1,7.82503
A71EV2A-x3229a,1,7.01664
A71EV2A-x3234a,1,6.93688
A71EV2A-x3264a,1,7.04335
A71EV2A-x3280a,1,7.4812
A71EV2A-x3286a,1,7.39526
A71EV2A-x3305a,1,6.92726
A71EV2A-x3306a,1,6.7134
A71EV2A-x3324a,1,7.68573
A71EV2A-x3371a,1,6.76425
A71EV2A-x3379a,1,6.94031
A71EV2A-x3392a,1,7.79643
A71EV2A-x3403a,1,7.44741
A71EV2A-x3410a,1,6.85704
A71EV2A-x3419a,1,6.96031
A71EV2A-x3450a,1,6.58484
A71EV2A-x3480a,1,7.61713
A71EV2A-x3483a,1,7.49575
A71EV2A-x3485a,1,7.27447
A71EV2A-x3488a,1,7.57511
A71EV2A-x3489a,1,8.01654
A71EV2A-x3509a,1,7.27924
A71EV2A-x3510a,1,7.48649
A71EV2A-x3521a,1,6.18976
A71EV2A-x3522a,1,6.70557
A71EV2A-x3546a,1,7.55966
A71EV2A-x3550a,1,7.25155
A71EV2A-x3556a,1,7.3325
A71EV2A-x3557a,1,7.112
A71EV2A-x3564a,1,7.03309
A71EV2A-x3568a,1,7.32727
A71EV2A-x3571a,1,7.35838
A71EV2A-x3575a,1,7.34549
A71EV2A-x3579a,1,6.77385
A71EV2A-x3581a,1,7.00552
A71EV2A-x3585a,1,8.09206
A71EV2A-x3606a,1,8.36475
A71EV2A-x3612a,1,7.24282
A71EV2A-x3616a,1,7.77095
A71EV2A-x3618a,1,7.91858
A71EV2A-x3623a,1,7.05473
A71EV2A-x3634a,1,6.9023
A71EV2A-x3663a,1,7.229
A71EV2A-x3665a,1,7.37119
A71EV2A-x3685a,1,6.64751
A71EV2A-x3694a,1,7.00584
